Product,Review,Summary,Sentiment
Candes Air Cooler,super! loved it,awesome cooler,positive
Candes Air Cooler,very bad quality,useless product,negative
Candes Air Cooler,average,works okay,neutral
Philips Trimmer,excellent product,love it,positive
Philips Trimmer,battery drains fast,not satisfied,negative
Philips Trimmer,it's just okay,neutral performance,neutral
Prestige Mixer,makes life easy,happy with purchase,positive
Prestige Mixer,noise is too much,disappointed,negative
Prestige Mixer,not good nor bad,okay product,neutral
Bajaj Iron,heats up quickly,good iron,positive
Bajaj Iron,stopped working in a week,poor quality,negative
Bajaj Iron,does its job,nothing special,neutral
Sony Headphones,sound quality is great,love these,positive
Sony Headphones,left side stopped working,quality issue,negative
Sony Headphones,decent for the price,okay experience,neutral
